first,second,consultation
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
誤検出,誤検出,誤検出
誤検出,調査不能,誤検出
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
誤検出,誤検出,誤検出
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
機能変更,差し戻し,差し戻し
機能変更,機能変更,機能変更
誤検出,誤検出,誤検出
差し戻し,差し戻し,差し戻し
機能変更,機能削除,機能削除
機能変更,誤検出,機能変更
機能変更,差し戻し,機能変更
機能変更,誤検出,誤検出
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
誤検出,誤検出,誤検出
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
機能変更,機能変更,機能変更
調査不能,調査不能,調査不能
機能変更,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
機能変更,機能変更,機能変更
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
誤検出,誤検出,誤検出
差し戻し,差し戻し,差し戻し
差し戻し,機能変更,機能変更
差し戻し,差し戻し,差し戻し
機能変更,機能変更,機能変更
機能削除,誤検出,機能削除
誤検出,誤検出,誤検出
差し戻し,差し戻し,差し戻し
機能削除,機能削除,機能削除
誤検出,誤検出,誤検出
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
機能削除,誤検出,機能削除
誤検出,調査不能,誤検出
差し戻し,差し戻し,差し戻し
機能変更,機能変更,機能変更
誤検出,誤検出,誤検出
差し戻し,機能変更,差し戻し
機能削除,機能削除,機能削除
機能変更,誤検出,機能削除
機能削除,調査不能,機能削除
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
誤検出,誤検出,誤検出
差し戻し,差し戻し,差し戻し
差し戻し,差し戻し,差し戻し
機能変更,機能削除,機能削除
機能変更,機能変更,機能変更
差し戻し,差し戻し,差し戻し
機能変更,機能変更,機能変更
機能削除,機能削除,機能削除
機能変更,,
誤検出,,
機能変更,,
誤検出,,
機能変更,,
誤検出,,
機能変更,,
差し戻し,,
